clientId,min_impressions,max_impressions,youtube_subscribers,instagram_followers,episode_avg_views,estimated_ad_price
rightaboutnow,1470,2450,22600,24072,1729.0,"{'30s': '14,20', '60s': '18,25'}"
ronanddonradio,14130,23550,2600,0,23.8,"{'30s': '15,20', '60s': '20,26'}"
sacredsymbols,50250,83750,95400,2379,12227.2,"{'30s': '22,28', '60s': '28,35'}"
schoolofpodcasting,4995,8325,3480,1496,121.66666666666667,"{'30s': '12,17', '60s': '16,22'}"
seancarrollsmindscape,59595,99325,226000,0,20714.0,"{'30s': '17,22', '60s': '22,28'}"
seeingotherpeople,8490,14150,1840,14191,155.2,"{'30s': '15,20', '60s': '20,26'}"
siblingrivalry,146295,243825,245000,80339,57769.8,"{'30s': '19,25', '60s': '25,32'}"
sidebar,11610,19350,77,0,29.0,"{'30s': '14,19', '60s': '19,25'}"
simonsquibb,105,175,1940000,3965126,71241.6,"{'30s': '14,20', '60s': '18,25'}"
slatenews,83850,139750,242000,95566,473.4,"{'30s': '20,26', '60s': '26,33'}"
sleepmeditationfor,10800,18000,0,2400,0.0,"{'30s': '18,24', '60s': '24,30'}"
slightlyoffensive,70125,116875,,0,0.0,"{'30s': '15,20', '60s': '20,26'}"
smalltowndicks,138060,230100,5470,26206,2008.2,"{'30s': '21,27', '60s': '27,34'}"
smalltownmurder,1096425,1827375,5220,111483,161.6,"{'30s': '21,27', '60s': '27,34'}"
smartmoneyhappyhour,44715,74525,153000,14029,43122.6,"{'30s': '20,26', '60s': '26,32'}"
somethingscary,121530,202550,2270000,109996,2881.6,"{'30s': '21,27', '60s': '27,34'}"
somethingtowrestle,162975,271625,128000,34946,0.0,"{'30s': '20,26', '60s': '26,33'}"
soomf,165,275,13900,39284,20.6,"{'30s': '9,14', '60s': '12,18'}"
spooked,210,350,0,13477,0.0,"{'30s': '11,16', '60s': '15,21'}"
stinkydragon,41415,69025,651000,115817,4049.8,"{'30s': '14,19', '60s': '19,25'}"
stoicism,9270,15450,1040,1694,174.4,"{'30s': '15,20', '60s': '20,26'}"
supermegashow,151875,253125,1000000,205226,25442.0,"{'30s': '19,25', '60s': '25,32'}"
talkeasy,17565,29275,3660,37252,6640.8,"{'30s': '15,20', '60s': '20,26'}"
teamneverquit,88485,147475,113000,174902,4212.6,"{'30s': '20,26', '60s': '26,33'}"
tedbusiness,15975,26625,43300000,0,0.0,"{'30s': '20,26', '60s': '26,32'}"
tedtalksdaily,149625,249375,43300000,8188034,0.0,"{'30s': '22,28', '60s': '28,35'}"
thaboxingvoice,18735,31225,243000,96694,6062.8,"{'30s': '15,20', '60s': '20,26'}"
theaichopping,0,0,209,0,101.2,"{'30s': '14,20', '60s': '18,25'}"
thealisachilders,75945,126575,237000,113792,15960.6,"{'30s': '19,25', '60s': '25,32'}"
theandrewklavanshow,334290,557150,811000,2510171,26490.2,"{'30s': '20,26', '60s': '26,33'}"
thebakarisellerspodcast,14355,23925,18600,175003,0.0,"{'30s': '15,20', '60s': '20,26'}"
thebenshapiroshow,2240295,3733825,7200000,2510171,348302.0,"{'30s': '20,26', '60s': '26,33'}"
thebestof,241725,402875,21,0,184.6,"{'30s': '21,27', '60s': '27,34'}"
thebestoneyet,142770,237950,39800,31942,1053.0,"{'30s': '26,32', '60s': '32,40'}"
theboundlessshow,11190,18650,4820,9724,78.8,"{'30s': '14,19', '60s': '19,25'}"
thebreakfastclub,207510,345850,5890000,0,38923.6,"{'30s': '20,26', '60s': '26,33'}"
thecandaceowensshow,231255,385425,4490000,0,903863.8,"{'30s': '20,26', '60s': '26,33'}"
theconfessionals,83340,138900,0,111080,0.0,"{'30s': '21,27', '60s': '27,34'}"
thecontrarians,30,50,257,332,309.2,"{'30s': '14,20', '60s': '18,25'}"
thedailysignal,18645,31075,857000,112300,8409.0,"{'30s': '15,20', '60s': '20,26'}"
thedailystoic,67335,112225,1940000,0,16296.0,"{'30s': '15,20', '60s': '20,26'}"
thedailyzeitgeist,70305,117175,2490,0,667.8,"{'30s': '15,20', '60s': '20,26'}"
thedanzaproject,360,600,501000,0,26272.0,"{'30s': '10,15', '60s': '14,20'}"
thedoctoryounshow,15885,26475,114000,1613125,35132.8,"{'30s': '18,24', '60s': '24,30'}"
thedrewlaneshow,87795,146325,26800,7919,11562.2,"{'30s': '19,25', '60s': '25,32'}"
thedrphil,198285,330475,457000,36816,566.4,"{'30s': '20,26', '60s': '26,33'}"
theedmylettshow,203595,339325,1060000,2859346,15759.6,"{'30s': '26,32', '60s': '32,40'}"
thefacility,100575,167625,2620000,0,2584.2,"{'30s': '20,26', '60s': '26,33'}"
thefallline,63585,105975,620,11287,23.2,"{'30s': '16,21', '60s': '21,27'}"
thegeniuslife,69030,115050,268000,1170362,5166.4,"{'30s': '18,24', '60s': '24,30'}"
theglasscannon,67440,112400,0,32680,0.0,"{'30s': '14,19', '60s': '19,25'}"
theguiltyfeminist,22635,37725,16600,419090,137.4,"{'30s': '14,19', '60s': '19,25'}"
thehitenshow,30,50,5860,58,0.0,"{'30s': '14,20', '60s': '18,25'}"
thehumanupgrade,103155,171925,167000,1352545,15677.6,"{'30s': '24,30', '60s': '30,38'}"
thejamessmith,13635,22725,46900,0,123847.8,"{'30s': '18,24', '60s': '24,30'}"
thejimfortinpodcast,21825,36375,13000,41288,237.8,"{'30s': '15,20', '60s': '20,26'}"
thejoerogan,3245565,5409275,20100000,19944387,378774.0,"{'30s': '19,25', '60s': '25,32'}"
theladyvanishes,17820,29700,5320,545202,790.8,"{'30s': '16,21', '60s': '21,27'}"
thelazygenius,94560,157600,13,250898,33.0,"{'30s': '18,24', '60s': '24,31'}"
themagnusarchives,149955,249925,118000,29865,3081.2,"{'30s': '20,26', '60s': '26,33'}"
themandalore,285,475,0,0,0.0,"{'30s': '10,15', '60s': '14,20'}"
themasswatchshow,398550,664250,3250000,2510185,145214.6,"{'30s': '20,26', '60s': '26,33'}"
